Timestep,Episodio,Stato,Azione,Ricompensa,Stato successivo,Terminato
916,133,"[1.0, 3.0, 5.920000076293945, 3.0, 10.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.4533333480358124, 1.7999999523162842, 1.0]",4,-2,"[1.0, 3.0, 5.926666736602783, 2.0, 10.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.4533333480358124, 1.7999999523162842, 0.5]",False
917,133,"[1.0, 3.0, 5.926666736602783, 2.0, 10.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.4533333480358124, 1.7999999523162842, 0.5]",3,-1,"[1.0, 3.0, 5.933333396911621, 2.0, 10.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.4533333480358124, 1.7999999523162842, 0.0]",False
918,133,"[1.0, 3.0, 5.933333396911621, 2.0, 10.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.4533333480358124, 1.7999999523162842, 0.0]",9,-1,"[1.0, 3.0, 5.933333396911621, 2.0, 10.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.4533333480358124, 9.0, 19.5]",False
919,133,"[1.0, 3.0, 5.933333396911621, 2.0, 10.0, 1.0, 2.0, 9.999999747378752e-05, 1.0, 2.0, 0.4533333480358124, 9.0, 19.5]",5,-1,"[1.0, 3.0, 5.940000057220459, 2.0, 10.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 1.0, 0.0, 9.0, 19.0]",False
920,133,"[1.0, 3.0, 5.940000057220459, 2.0, 10.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 1.0, 0.0, 9.0, 19.0]",3,-1,"[1.0, 3.0, 5.943333148956299, 2.0, 10.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 1.0, 0.0, 9.0, 19.0]",False
921,133,"[1.0, 3.0, 5.943333148956299, 2.0, 10.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 1.0, 0.0, 9.0, 19.0]",5,-1,"[1.0, 3.0, 5.946666717529297, 2.0, 10.0, 1.0, 2.0, 9.999999747378752e-05, 0.0, 1.0, 0.0, 9.0, 19.0]",True
922,134,"[1.0, 3.0, 5.806666851043701, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 0.0, 3.0, 0.0, 1.7999999523162842, 12.0]",5,-1,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 12.0]",False
923,134,"[1.0, 3.0, 5.813333511352539, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 12.0]",8,9,"[0.0, 3.0, 7.019999980926514, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0, 1.7999999523162842, 12.0]",True
924,135,"[1.0, 3.0, 5.800000190734863, 3.0, 7.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 1.7999999523162842, 8.0]",9,-1,"[1.0, 3.0, 5.806666851043701, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 7.5]",False
925,135,"[1.0, 3.0, 5.806666851043701, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 7.5]",10,-1,"[1.0, 3.0, 5.809999942779541, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 7.0]",False
926,135,"[1.0, 3.0, 5.809999942779541, 3.0, 7.0, 1.0, 3.0, 9.999999747378752e-05, 1.0, 3.0, 0.0, 1.7999999523162842, 7.0]",4,0,"[1.0, 3.0, 5.813333511352539, 1.0, 10.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 8.0, 6.0]",False
927,135,"[1.0, 3.0, 5.813333511352539, 1.0, 10.0, 0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 8.0, 6.0]",6,-1,"[1.0, 3.0, 5.820000171661377, 1.0, 10.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 8.0, 5.5]",False
928,135,"[1.0, 3.0, 5.820000171661377, 1.0, 10.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 8.0, 5.5]",11,-1,"[1.0, 3.0, 7.426666736602783, 1.0, 10.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 8.0, 5.0]",False
929,135,"[1.0, 3.0, 7.426666736602783, 1.0, 10.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 8.0, 5.0]",0,-1,"[1.0, 3.0, 8.006667137145996, 1.0, 10.0, 0.0, 1.0, 0.0, 1.0, 2.0, 0.0, 8.0, 2.0]",False
